transaction_id,customer_id,product_id,price,product_name_trans,category_trans,purchase_location,city,transaction_date,quantity,payment_method,discount,payment_status,customer_name_masked,email_masked,phone_masked,product_name_prod,category_prod,product_name_standardized,revenue,cost_ratio,total_cost,profit,profit_margin_pct,transaction_year,transaction_month,transaction_week,day_of_week,discount_rate
23,104,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,Upi,0.25,Successful,c79de551ce332499,9c365e9ee2df4049,ae31f7e944a5972c,Mixer Grinder,Home Appliances,Mixer Grinder,29999.75,0.7,21000.0,8999.75,29.999416661805515,2026,4,16,Wednesday,8.333333333333334e-06
24,799,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,Successful,cade73bc60aa8a15,8a9b292651d28dde,f311ffaa6a2e79b2,Mixer Grinder,Home Appliances,Mixer Grinder,44999.75,0.7,31499.999999999996,13499.750000000004,29.999611108950614,2025,5,20,Friday,5.555555555555556e-06
25,249,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Successful,f71a747c64d502be,44a625cfe9d5fcb3,6324826da16be262,Phone,Electronics,Phone,69999.7,0.8,56000.0,13999.699999999997,19.999657141387743,2025,8,35,Friday,4.2857142857142855e-06
26,149,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,Successful,54cbc22b52d83f4b,74b8e2564897c954,ea1d6120b38c16bc,Sofa,Furniture,Sofa,79999.95,0.6,48000.0,31999.949999999997,39.99996249997656,2026,1,5,Wednesday,6.25e-07
27,927,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,Upi,0.2,Successful,6c62adf7dcd6d1b4,d26a5076bcb1c91d,654bda6083955dcb,TV,Electronics,TV,224999.8,0.8,180000.0,44999.79999999999,19.999928888825675,2025,11,46,Thursday,8.88888888888889e-07
28,868,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Successful,c6b144d9f2f87636,926a76145939f0d2,0ef1d1c65621e5bf,Dining Table,Furniture,Dining Table,49999.7,0.6,30000.0,19999.699999999997,39.99963999783998,2025,11,46,Wednesday,6e-06
29,1,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,Successful,46a8f5a1f3fda3da,44c0f2c065ca9710,c9e11709fe4d10df,Refrigerator,Home Appliances,Refrigerator,129999.7,0.7,91000.0,38999.7,29.99983846116568,2025,6,26,Saturday,2.3076923076923077e-06
30,980,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Successful,9ff71f5c8e4864e7,97a850bdc9f9b53a,72c94f6a6caf65a9,Sofa,Furniture,Sofa,399999.95,0.6,240000.0,159999.95,39.99999249999907,2025,7,28,Thursday,1.25e-07
31,455,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,Netbanking,0.3,Successful,dfc71ff6dd3d6180,b97777ef02b91644,129ab4f188730152,Dining Table,Furniture,Dining Table,199999.7,0.6,120000.0,79999.70000000001,39.999909999865004,2025,6,23,Tuesday,1.5e-06
32,367,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,Successful,30945c945cca4bf7,b5165020751d37be,798ddc6e68fa211e,TV,Electronics,TV,179999.6,0.8,144000.0,35999.600000000006,19.999822221827163,2025,11,46,Friday,2.2222222222222225e-06
34,968,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,Successful,eee41aaeadb2ad6a,427a194268399f89,e97d860afb99883d,Dining Table,Furniture,Dining Table,199999.85,0.6,120000.0,79999.85,39.999954999966256,2025,11,45,Sunday,7.5e-07
35,390,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,Successful,685cdc5141c73dab,f789e60ea055260b,c3df09aa7b22d69b,Microwave,Home Appliances,Microwave,89999.9,0.7,62999.99999999999,26999.9,29.999922222135805,2025,5,21,Sunday,1.1111111111111112e-06
36,528,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,Netbanking,0.1,Successful,094b8fdcaa928251,d5a9ddd6f2e95212,a1eb57780e9fea31,Phone,Electronics,Phone,139999.9,0.8,112000.0,27999.899999999994,19.999942857102038,2025,7,29,Saturday,7.142857142857143e-07
37,46,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,Upi,0.1,Successful,b7bb9f2a700891fc,19483b4f7206df7b,b697597b9d261249,Shirt,Clothing,Shirt,3899.9,0.5,1950.0,1949.9,49.998717915844,2026,1,2,Wednesday,2.5641025641025643e-05
38,437,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,Successful,219ffc9bc99cded3,9a88d4ef2d517b3d,7d237e9f73617e08,Shoes,Clothing,Shoes,7999.75,0.5,4000.0,3999.75,49.998437451170346,2026,1,4,Wednesday,3.125e-05
39,234,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,Successful,29c254132878d100,339443a3dbdc8296,1a10d31ecc201b70,Shoes,Clothing,Shoes,7999.9,0.5,4000.0,3999.8999999999996,49.9993749921874,2025,12,49,Monday,1.25e-05
40,391,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,Netbanking,0.3,Successful,a16af2bc79dd4163,8cc5be48dcd9fd73,3a434a9e99ad51e4,Shirt,Clothing,Shirt,2599.7,0.5,1300.0,1299.6999999999998,49.99423010347348,2026,8,32,Monday,0.00011538461538461538
41,743,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,Netbanking,0.1,Successful,d4a41b3485704a44,9311184b31d75b76,5f41a8e44ac0d4cd,Shirt,Clothing,Shirt,3899.9,0.5,1950.0,1949.9,49.998717915844,2025,12,52,Monday,2.5641025641025643e-05
42,17,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,Successful,20c76c37c889aa63,6970801865d00f53,8a6d866ff5b65bd9,TV,Electronics,TV,89999.7,0.8,72000.0,17999.699999999997,19.99973333244444,2025,7,28,Friday,3.3333333333333333e-06
43,861,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,Successful,e7a877f2c0c7255b,397144d03dc9a585,b3e26e345f7b2f37,TV,Electronics,TV,224999.6,0.8,180000.0,44999.600000000006,19.99985777752494,2025,5,22,Monday,1.777777777777778e-06
44,213,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,Successful,dc6abc176c7c1503,d306df3e493413ce,52d1ac069f9d33b8,Shoes,Clothing,Shoes,23999.75,0.5,12000.0,11999.75,49.99947916124126,2025,5,20,Wednesday,1.0416666666666666e-05
45,220,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,Successful,81e0373ec6a750e3,66f3b3bc84ecce4e,5aaf3d15fa430b50,Shoes,Clothing,Shoes,31999.85,0.5,16000.0,15999.849999999999,49.99976562390136,2025,11,47,Sunday,4.6875e-06
46,463,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,Upi,0.1,Successful,773a84c77a6c0894,0eb3133ece4abb00,3bcd6c9a6fc6b4cb,Shoes,Clothing,Shoes,39999.9,0.5,20000.0,19999.9,49.9998749996875,2025,4,17,Sunday,2.5e-06
47,429,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,Netbanking,0.1,Successful,96069c44f5280f28,e423bfc770b0240b,7126ba7fa200dac5,Laptop,Electronics,Laptop,999999.9,0.8,800000.0,199999.90000000002,19.999991999999203,2025,8,35,Wednesday,1.0000000000000001e-07
48,222,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,Successful,0cbcc67239f1787a,a8b2977bb4f04f79,5548fa2c18a7fdd0,Mixer Grinder,Home Appliances,Mixer Grinder,14999.75,0.7,10500.0,4499.75,29.99883331388856,2025,7,28,Friday,1.6666666666666667e-05
49,971,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,Upi,0.2,Successful,7f4d72b215f658a4,01e443fcfed47355,09b20219bac55b65,Shirt,Clothing,Shirt,6499.8,0.5,3250.0,3249.8,49.998461491122804,2025,7,28,Thursday,3.076923076923077e-05
50,670,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,Upi,0.15,Successful,a8afa396914d5382,a88846d491d1fb8b,f1608a83ac72a804,Sofa,Furniture,Sofa,399999.85,0.6,240000.0,159999.84999999998,39.99997749999156,2025,5,22,Saturday,3.75e-07
51,485,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,Successful,7700fdbb5d9c1fbc,604ff69dd8d008fc,628d5cd396e8ff22,Dining Table,Furniture,Dining Table,99999.9,0.6,60000.0,39999.899999999994,39.99993999994,2025,7,28,Saturday,1e-06
52,883,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,Successful,b6b7b1e36835ba8d,61b326f1edfd071e,67d69de78de52248,Shoes,Clothing,Shoes,7999.6,0.5,4000.0,3999.6000000000004,49.99749987499375,2025,7,29,Thursday,5e-05
53,202,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,Successful,28139dcbd69d7fa0,e985e8275c8f5cb0,0b8189e6663e7542,Shirt,Clothing,Shirt,1299.85,0.5,650.0,649.8499999999999,49.99423010347348,2025,11,45,Monday,0.00011538461538461538
54,817,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Successful,ddbd9312bf57aab6,a644bb587cf84e59,09885e4d013d9b10,Dining Table,Furniture,Dining Table,149999.75,0.6,90000.0,59999.75,39.99989999983333,2025,7,30,Friday,1.6666666666666667e-06
55,801,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,Upi,0.3,Successful,6a702f9055c6ce88,b7571dd1249b4553,dfe72767091d4660,Shoes,Clothing,Shoes,39999.7,0.5,20000.0,19999.699999999997,49.999624997187475,2025,10,40,Wednesday,7.499999999999999e-06
56,284,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,Netbanking,0.4,Successful,39ed974209d3ddf7,b1d66dba0977c06e,ee84a3f41b9b0491,Shoes,Clothing,Shoes,15999.6,0.5,8000.0,7999.6,49.998749968749216,2026,2,8,Friday,2.5e-05
57,72,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Successful,f99e154ee9694644,ce9a1c994c8786a2,4163e1b2dc85ee64,TV,Electronics,TV,224999.8,0.8,180000.0,44999.79999999999,19.999928888825675,2025,12,1,Wednesday,8.88888888888889e-07
58,873,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,Upi,0.15,Successful,5e8c6e8e65d37222,6fb9ddb719b01f4e,bf6bf3590a319d42,Laptop,Electronics,Laptop,749999.85,0.8,600000.0,149999.84999999998,19.999983999996797,2025,10,44,Tuesday,2e-07
59,854,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,Netbanking,0.15,Successful,2aaec20db3eb3b57,dd6be0d4d0cec592,cac46f8d7a9d8f4e,Mixer Grinder,Home Appliances,Mixer Grinder,44999.85,0.7,31499.999999999996,13499.850000000002,29.999766665888895,2025,7,28,Sunday,3.3333333333333333e-06
60,874,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,Upi,0.25,Successful,9dc5a2eae672dc8c,798b697daf45e1c9,e977b007a1420475,Sofa,Furniture,Sofa,399999.75,0.6,240000.0,159999.75,39.99996249997656,2025,5,21,Tuesday,6.25e-07
61,507,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,Successful,21b271ff7998c76d,3d2bf373e79de667,5220abe4ae3e647a,Shoes,Clothing,Shoes,15999.7,0.5,8000.0,7999.700000000001,49.99906248242155,2025,12,52,Tuesday,1.875e-05
62,736,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,Netbanking,0.05,Successful,4517498a50dbce20,77bc59226b38d6c7,c6f338d82e668e82,Shoes,Clothing,Shoes,31999.95,0.5,16000.0,15999.95,49.99992187487793,2025,6,23,Saturday,1.5625e-06
63,182,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,Netbanking,0.35,Successful,b06fddddfbe1bce1,94b3bf549043db17,c9b74be0f995865b,Dining Table,Furniture,Dining Table,249999.65,0.6,150000.0,99999.65,39.9999159998824,2026,2,9,Wednesday,1.4e-06
64,341,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,Netbanking,0.1,Successful,392176ac5a2bd4cd,85b9e7a765deb9e2,3f387d5599421713,Microwave,Home Appliances,Microwave,134999.9,0.7,94500.0,40499.899999999994,29.999948148109734,2025,12,50,Sunday,7.407407407407408e-07
65,937,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,Netbanking,0.25,Successful,f1450dbb8eb80b90,fa66bc39c5d7f162,ce33dd6106555865,Mixer Grinder,Home Appliances,Mixer Grinder,29999.75,0.7,21000.0,8999.75,29.999416661805515,2025,4,17,Tuesday,8.333333333333334e-06
66,164,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,Successful,428d9e50057e70f0,ed032c3ffcd0efd4,af69fb935cecf471,Shoes,Clothing,Shoes,15999.7,0.5,8000.0,7999.700000000001,49.99906248242155,2025,4,16,Wednesday,1.875e-05
67,188,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,Successful,9bba38ad9856b7ea,6b4ec4f6f0e3b6f0,d7dd40830c21ba88,Refrigerator,Home Appliances,Refrigerator,194999.7,0.7,136500.0,58499.70000000001,29.999892307526633,2026,4,14,Saturday,1.5384615384615385e-06
68,603,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,Successful,e3f064284e347796,7893d4f4b2ea30ea,ab09a1605f14f44d,Shoes,Clothing,Shoes,31999.85,0.5,16000.0,15999.849999999999,49.99976562390136,2025,9,40,Tuesday,4.6875e-06
69,656,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,Netbanking,0.1,Successful,79feefc4e6820b6e,cda97e17f5bcafee,f53cc3f5dae1a5b1,Shoes,Clothing,Shoes,7999.9,0.5,4000.0,3999.8999999999996,49.9993749921874,2025,8,35,Friday,1.25e-05
70,687,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,Upi,0.1,Successful,9bfd0ae271b7a56e,2c69093746f20659,64685e353ee78586,Microwave,Home Appliances,Microwave,44999.9,0.7,31499.999999999996,13499.900000000005,29.999844444098777,2026,4,14,Sunday,2.2222222222222225e-06
71,186,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Successful,68ba0a4df3c0fb21,6ad7170d71026189,e60fac969e2decaf,TV,Electronics,TV,89999.7,0.8,72000.0,17999.699999999997,19.99973333244444,2026,1,4,Friday,3.3333333333333333e-06
72,865,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,Upi,0.2,Successful,e7479994abf1c3b8,734d6ec973d44747,52823a5f6f00fee5,Phone,Electronics,Phone,69999.8,0.8,56000.0,13999.800000000003,19.99977142791837,2026,4,15,Tuesday,2.8571428571428573e-06
73,523,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,Successful,a5d8157490bd4d4a,c73a2180f0bcd97e,0e0d68079b00e7a2,Laptop,Electronics,Laptop,999999.9,0.8,800000.0,199999.90000000002,19.999991999999203,2026,3,11,Monday,1.0000000000000001e-07
75,729,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,Netbanking,0.1,Successful,0c558e591dca9dfc,731759f5dedaa23b,866faf7129c58c2e,Mixer Grinder,Home Appliances,Mixer Grinder,14999.9,0.7,10500.0,4499.9,29.9995333302222,2025,8,32,Sunday,6.666666666666667e-06
78,874,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Successful,9dc5a2eae672dc8c,798b697daf45e1c9,e977b007a1420475,Shoes,Clothing,Shoes,31999.9,0.5,16000.0,15999.900000000001,49.99984374951172,2025,6,24,Wednesday,3.125e-06
79,977,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,Upi,0.3,Successful,38fde7672bbec459,0bc3b582f1fcf465,87d0eebef1f5d4a4,Phone,Electronics,Phone,349999.7,0.8,280000.0,69999.70000000001,19.999931428512653,2025,5,20,Friday,8.571428571428571e-07
80,735,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,Successful,9e31e90052e2595d,322b201e4ccbabbf,045de06f829a73dd,Mixer Grinder,Home Appliances,Mixer Grinder,74999.95,0.7,52500.0,22499.949999999997,29.99995333330222,2025,6,25,Friday,6.666666666666667e-07
81,704,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,Upi,0.25,Successful,3ba9ede0093562a4,50549e14bc286097,f7a426084b8774e2,Dining Table,Furniture,Dining Table,249999.75,0.6,150000.0,99999.75,39.99993999994,2026,4,16,Tuesday,1e-06
82,578,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,Netbanking,0.4,Successful,f3a98a6c31e5a6bb,b201728f8441e6b8,5e688feb9885248f,Laptop,Electronics,Laptop,999999.6,0.8,800000.0,199999.59999999998,19.9999679999872,2025,6,25,Wednesday,4.0000000000000003e-07
83,11,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,Netbanking,0.2,Successful,319a52272c40e146,6c30f7b57039ecae,eabcff26d346d514,Microwave,Home Appliances,Microwave,134999.8,0.7,94500.0,40499.79999999999,29.99989629614265,2025,6,26,Saturday,1.4814814814814817e-06
84,379,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,Upi,0.2,Successful,afa6158d37285afc,492b3c11d1866af9,0a756164474468a7,TV,Electronics,TV,224999.8,0.8,180000.0,44999.79999999999,19.999928888825675,2025,11,45,Friday,8.88888888888889e-07
85,108,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,Successful,860ca3e15ed48c45,20a9e9121163eb60,a2a3e3e33cc6ff30,Laptop,Electronics,Laptop,1249999.9,0.8,1000000.0,249999.8999999999,19.99999359999948,2025,8,35,Saturday,8e-08
86,427,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,Netbanking,0.05,Successful,af9f1cdeda3b9522,43a526a162af22ee,c0d923bd10996422,Shirt,Clothing,Shirt,5199.95,0.5,2600.0,2599.95,49.999519226146404,2026,1,2,Friday,9.615384615384616e-06
87,454,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,Successful,925d1d05660ae338,76d92431153f1ec3,29b54803fbe20505,Phone,Electronics,Phone,69999.85,0.8,56000.0,13999.850000000006,19.999828571061233,2025,11,45,Tuesday,2.1428571428571427e-06
88,975,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,Successful,6260f23f6273240f,417bf476264a73ca,cc6e346225119690,Microwave,Home Appliances,Microwave,134999.8,0.7,94500.0,40499.79999999999,29.99989629614265,2026,2,6,Monday,1.4814814814814817e-06
89,992,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,Successful,35723e5d57b61739,b348922531536abd,78e69f67f7115749,Dining Table,Furniture,Dining Table,249999.85,0.6,150000.0,99999.85,39.9999639999784,2025,12,51,Saturday,6e-07
90,439,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,Successful,e011a458f4fe58d5,dc085ab6be6b8546,efcb86a97835c4a1,Phone,Electronics,Phone,209999.6,0.8,168000.0,41999.600000000006,19.99984761875737,2026,3,13,Tuesday,1.904761904761905e-06
91,645,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,Successful,eadea2dd299df291,7c4ec305719ac252,d0bac66bd73c4bb3,Phone,Electronics,Phone,69999.6,0.8,56000.0,13999.600000000006,19.999542854530606,2026,1,2,Monday,5.7142857142857145e-06
92,728,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,Netbanking,0.05,Successful,6d5b665c64e70f37,4d80d13ea81926dc,47d793bd539dbe26,Mixer Grinder,Home Appliances,Mixer Grinder,14999.95,0.7,10500.0,4499.950000000001,29.999766665888888,2026,3,13,Saturday,3.3333333333333333e-06
